Year,State,Region,Population,Mortality,,Bchecks,,,,,,,,,,,,,,
2010,Maryland,South Region,5773552,528,"88,162",88.162,,,,,,,,,,,,,,
2010,Massachusetts,Northeast Region,6547629,264,"115,904",115.904,,,,,,,,,,,,,,
2010,Michigan,Midwest Region,9883640,1057,"348,200",348.2,,,,,,,,,,,,,,
2010,Minnesota,Midwest Region,5303925,345,"297,390",297.39,,,,,,,,,,,,,,
2010,Mississippi,South Region,2967297,461,"169,873",169.873,,,,,,,,,,,,,,
2010,Missouri,Midwest Region,5988927,837,"349,672",349.672,,,,,,,,,,,,,,
2010,Montana,West Region,989415,158,"101,095",101.095,,,,,,,,,,,,,,
2010,Nebraska,Midwest Region,1826341,147,"58,283",58.283,,,,,,,,,,,,,,
2010,Nevada,West Region,2700551,379,"104,789",104.789,,,,,,,,,,,,,,
2010,New Hampshire,Northeast Region,1316470,102,"79,940",79.94,,,,,,,,,,,,,,
2010,New Jersey,Northeast Region,8791894,447,"50,522",50.522,,,,,,,,,,,,,,
2010,New Mexico,West Region,2059179,280,"109,069",109.069,,,,,,,,,,,,,,
2010,New York,Northeast Region,19378102,999,"241,495",241.495,,,,,,,,,,,,,,
2010,North Carolina,South Region,9535483,1113,"331,637",331.637,,,,,,,,,,,,,,
2010,North Dakota,Midwest Region,672591,56,"47,083",47.083,,,,,,,,,,,,,,
2010,Ohio,Midwest Region,11536504,1130,"393,250",393.25,,,,,,,,,,,,,,
2010,Oklahoma,South Region,3751351,531,"233,909",233.909,,,,,,,,,,,,,,
2010,Oregon,West Region,3831074,436,"184,835",184.835,,,,,,,,,,,,,,
2010,Pennsylvania,Northeast Region,12702379,1295,"626,677",626.677,,,,,,,,,,,,,,
2010,Rhode Island,Northeast Region,1052567,47,"14,835",14.835,,,,,,,,,,,,,,
2010,South Carolina,South Region,4625364,641,"201,628",201.628,,,,,,,,,,,,,,
2010,South Dakota,Midwest Region,814180,65,"63,151",63.151,,,,,,,,,,,,,,
2010,Tennessee,South Region,6346105,926,"411,024",411.024,,,,,,,,,,,,,,
2010,Texas,South Region,25145561,2693,"968,071",968.071,,,,,,,,,,,,,,
2010,Utah,West Region,2763885,302,"553,134",553.134,,,,,,,,,,,,,,
2010,Vermont,Northeast Region,625741,66,"24,276",24.276,,,,,,,,,,,,,,
2010,Virginia,South Region,8001024,860,"320,783",320.783,,,,,,,,,,,,,,
2010,Washington,West Region,6724540,578,"335,342",335.342,,,,,,,,,,,,,,
2010,West Virginia,South Region,1852994,267,"159,550",159.55,,,,,,,,,,,,,,
2010,Wisconsin,Midwest Region,5686986,484,"194,797",194.797,,,,,,,,,,,,,,
2010,Wyoming,West Region,563626,83,"47,709",47.709,,,,,,,,,,,,,,
2011,Alabama,South Region,4802740,784,"336,102",336.102,,,,,,,,,,,,,,
2011,Alaska,West Region,722718,118,"70,198",70.198,,,,,,,,,,,,,,
2011,Arizona,West Region,6482505,945,"251,477",251.477,,,,,,,,,,,,,,
2011,Arkansas,South Region,2937979,455,"206,228",206.228,,,,,,,,,,,,,,
2011,California,West Region,37691912,2921,"905,701",905.701,,,,,,,,,,,,,,
2011,Colorado,West Region,5116796,556,"336,296",336.296,,,,,,,,,,,,,,
2011,Connecticut,Northeast Region,3580709,207,"186,068",186.068,,,,,,,,,,,,,,
2011,Delaware,South Region,907135,77,"22,490",22.49,,,,,,,,,,,,,,
2011,District of Columbia,South Region,617996,77,300,0.3,,,,,,,,,,,,,,
2011,Florida,South Region,19057542,2355,"643,229",643.229,,,,,,,,,,,,,,
2011,Georgia,South Region,9815210,1218,"367,894",367.894,,,,,,,,,,,,,,
2011,Hawaii,West Region,1374810,42,"12,635",12.635,,,,,,,,,,,,,,
2011,Idaho,West Region,1584985,183,"106,616",106.616,,,,,,,,,,,,,,
2011,Illinois,Midwest Region,12869257,1091,"828,962",828.962,,,,,,,,,,,,,,
2011,Indiana,Midwest Region,6516922,627,"359,840",359.84,,,,,,,,,,,,,,
2011,Iowa,Midwest Region,3062309,216,"179,944",179.944,,,,,,,,,,,,,,
2011,Kansas,Midwest Region,2871238,314,"164,898",164.898,,,,,,,,,,,,,,
